source,proposed_target,status,artifact_type,ownership,ownership_confidence,ownership_score,ownership_evidence,lifecycle,old_manifest_module,old_manifest_target,dynamic_loader,sys_path_mutation,parent_depth_indices,path_depth_risk,ci_reference,documentation_references,verification_required,notes
04_Testing/analyze_xauusd_hierarchical_model_v4_stage_b_feature_stability_reduction.py,04_Testing/research/legacy_ml/analyze_xauusd_hierarchical_model_v4_stage_b_feature_stability_reduction.py,REVIEW_REQUIRED,operation_or_research,research.legacy_ml,MEDIUM,300,Models=300[300:dynamic-module:02_AI.Models.xauusd_hierarchical_model_v4_trainer],HISTORICAL,research.legacy_ml,04_Testing/research/legacy_ml/analyze_xauusd_hierarchical_model_v4_stage_b_feature_stability_reduction.py,YES,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/analyze_xauusd_hierarchical_model_v4_stage_b_temporal_robustness.py,04_Testing/research/legacy_ml/analyze_xauusd_hierarchical_model_v4_stage_b_temporal_robustness.py,REVIEW_REQUIRED,operation_or_research,research.legacy_ml,MEDIUM,300,Models=300[300:dynamic-module:02_AI.Models.xauusd_hierarchical_model_v4_trainer],HISTORICAL,research.legacy_ml,04_Testing/research/legacy_ml/analyze_xauusd_hierarchical_model_v4_stage_b_temporal_robustness.py,YES,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/audit_xauusd_portable_331_train_input_readiness.py,04_Testing/research/portable_331/train/audit_xauusd_portable_331_train_input_readiness.py,REVIEW_REQUIRED,operation_or_research,research.portable_331.train,MEDIUM,0,,HISTORICAL_FROZEN,research.portable_331.train,04_Testing/research/portable_331/train/audit_xauusd_portable_331_train_input_readiness.py,YES,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/build_exness_demo_xauusd_canonical_history.py,04_Testing/build_exness_demo_xauusd_canonical_history.py,REVIEW_REQUIRED,operation_or_research,Dataset,MEDIUM,300,Dataset=300[300:dynamic-module:02_AI.Dataset.history_manager],REVIEW_REQUIRED,unclassified,04_Testing/build_exness_demo_xauusd_canonical_history.py,YES,YES,,NONE,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;dynamic_loader_semantics,deprecated old classification: unclassified
04_Testing/build_xauusd_training_matrix.py,04_Testing/research/legacy_ml/build_xauusd_training_matrix.py,REVIEW_REQUIRED,operation_or_research,research.legacy_ml,MEDIUM,300,Dataset=300[300:dynamic-module:02_AI.Dataset.training_matrix_builder],HISTORICAL,research.legacy_ml,04_Testing/research/legacy_ml/build_xauusd_training_matrix.py,YES,YES,,NONE,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/build_xauusd_training_v2.py,04_Testing/research/legacy_ml/build_xauusd_training_v2.py,REVIEW_REQUIRED,operation_or_research,research.legacy_ml,MEDIUM,300,Dataset=300[300:dynamic-module:02_AI.Dataset.training_target_relabeler],HISTORICAL,research.legacy_ml,04_Testing/research/legacy_ml/build_xauusd_training_v2.py,YES,YES,,NONE,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/build_xauusd_training_v3.py,04_Testing/research/legacy_ml/build_xauusd_training_v3.py,REVIEW_REQUIRED,operation_or_research,research.legacy_ml,MEDIUM,300,Dataset=300[300:dynamic-module:02_AI.Dataset.training_feature_enricher],HISTORICAL,research.legacy_ml,04_Testing/research/legacy_ml/build_xauusd_training_v3.py,YES,YES,,NONE,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/check_symbols.py,04_Testing/check_symbols.py,REVIEW_REQUIRED,operation_or_research,unclassified,LOW,0,,REVIEW_REQUIRED,unclassified,04_Testing/check_symbols.py,NO,NO,,NONE,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check,deprecated old classification: unclassified
04_Testing/check_terminal.py,04_Testing/check_terminal.py,REVIEW_REQUIRED,operation_or_research,unclassified,LOW,0,,REVIEW_REQUIRED,unclassified,04_Testing/check_terminal.py,NO,NO,,NONE,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check,deprecated old classification: unclassified
04_Testing/confidence_v21_research_validation.py,04_Testing/research/shadow_or_legacy/confidence_v21_research_validation.py,REVIEW_REQUIRED,operation_or_research,research.shadow_or_legacy,MEDIUM,300,Core=300[300:dynamic-module:02_AI.Core.scalping_pipeline] | Dataset=300[300:dynamic-module:02_AI.Dataset.data_fetcher],HISTORICAL_OR_SHADOW,research.shadow_or_legacy,04_Testing/research/shadow_or_legacy/confidence_v21_research_validation.py,YES,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/confidence_v21_shadow_validation.py,04_Testing/research/shadow_or_legacy/confidence_v21_shadow_validation.py,REVIEW_REQUIRED,operation_or_research,research.shadow_or_legacy,MEDIUM,0,,HISTORICAL_OR_SHADOW,research.shadow_or_legacy,04_Testing/research/shadow_or_legacy/confidence_v21_shadow_validation.py,YES,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/confidence_v21_walk_forward_validation.py,04_Testing/research/shadow_or_legacy/confidence_v21_walk_forward_validation.py,REVIEW_REQUIRED,operation_or_research,research.shadow_or_legacy,MEDIUM,0,,HISTORICAL_OR_SHADOW,research.shadow_or_legacy,04_Testing/research/shadow_or_legacy/confidence_v21_walk_forward_validation.py,YES,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/conftest.py,04_Testing/conftest.py,SUPPORT_STAY,pytest_support,pytest_root_support,HIGH,0,,ACTIVE_REGRESSION,runtime.misc,04_Testing/runtime/misc/conftest.py,NO,YES,1,HIGH,NO,05_Documentation/Module_List.md,ast_parse;py_compile;stale_path_scan;frozen_hash_check;documentation_update;repo_root_semantics,
04_Testing/daily_trade_readiness_diagnostic.py,04_Testing/daily_trade_readiness_diagnostic.py,REVIEW_REQUIRED,operation_or_research,Core,MEDIUM,300,Core=300[300:dynamic-module:02_AI.Core.scalping_pipeline] | Dataset=300[300:dynamic-module:02_AI.Dataset.data_fetcher],REVIEW_REQUIRED,unclassified,04_Testing/daily_trade_readiness_diagnostic.py,YES,YES,,NONE,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;dynamic_loader_semantics,deprecated old classification: unclassified
04_Testing/design_xauusd_portable_331_one_time_test_protocol.py,04_Testing/design_xauusd_portable_331_one_time_test_protocol.py,FROZEN_STAY,operation_or_research,frozen_compatibility,FROZEN,470,Dataset=470[220:source-file-string:02_AI/Dataset/portable_331_training_input_loader.py;250:source-domain-path:02_AI/Dataset/portable_331_training_input_loader.py],FROZEN_HOLDOUT,research.portable_331.holdout,04_Testing/design_xauusd_portable_331_one_time_test_protocol.py,NO,NO,,NONE,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check,
04_Testing/design_xauusd_portable_331_one_time_validation_protocol.py,04_Testing/design_xauusd_portable_331_one_time_validation_protocol.py,FROZEN_STAY,operation_or_research,frozen_compatibility,FROZEN,0,,FROZEN_HOLDOUT,research.portable_331.holdout,04_Testing/design_xauusd_portable_331_one_time_validation_protocol.py,NO,NO,1,HIGH,NO,05_Documentation/Developer_Guide.md;05_Documentation/Module_List.md,ast_parse;py_compile;stale_path_scan;frozen_hash_check;documentation_update;repo_root_semantics,
04_Testing/design_xauusd_portable_331_train_model_candidate_registry.py,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_model_candidate_registry.py,REVIEW_REQUIRED,operation_or_research,research.portable_331.train,MEDIUM,0,,HISTORICAL_FROZEN,research.portable_331.train,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_model_candidate_registry.py,NO,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics,"old research classification retained as evidence, not authority"
04_Testing/design_xauusd_portable_331_train_model_research_protocol.py,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_model_research_protocol.py,REVIEW_REQUIRED,operation_or_research,research.portable_331.train,MEDIUM,220,Dataset=220[220:source-file-string:portable_331_training_input_loader.py],HISTORICAL_FROZEN,research.portable_331.train,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_model_research_protocol.py,NO,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics,"old research classification retained as evidence, not authority"
04_Testing/design_xauusd_portable_331_train_supervised_batch_contract.py,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_supervised_batch_contract.py,REVIEW_REQUIRED,operation_or_research,research.portable_331.train,MEDIUM,220,Dataset=220[220:source-file-string:portable_331_training_input_loader.py],HISTORICAL_FROZEN,research.portable_331.train,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_supervised_batch_contract.py,NO,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics,"old research classification retained as evidence, not authority"
04_Testing/design_xauusd_portable_331_train_target_access_contract.py,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_target_access_contract.py,REVIEW_REQUIRED,operation_or_research,research.portable_331.train,MEDIUM,220,Dataset=220[220:source-file-string:portable_331_training_input_loader.py],HISTORICAL_FROZEN,research.portable_331.train,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_target_access_contract.py,YES,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/design_xauusd_portable_331_trainer_input_contract.py,04_Testing/research/portable_331/train/design_xauusd_portable_331_trainer_input_contract.py,REVIEW_REQUIRED,operation_or_research,research.portable_331.train,MEDIUM,220,Models=220[220:source-file-string:xauusd_hierarchical_model_v4_trainer.py],HISTORICAL_FROZEN,research.portable_331.train,04_Testing/research/portable_331/train/design_xauusd_portable_331_trainer_input_contract.py,YES,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/diagnose_xauusd_portable_331_float_roundtrip.py,04_Testing/research/portable_331/train/diagnose_xauusd_portable_331_float_roundtrip.py,REVIEW_REQUIRED,operation_or_research,research.portable_331.train,MEDIUM,0,,HISTORICAL_FROZEN,research.portable_331.train,04_Testing/research/portable_331/train/diagnose_xauusd_portable_331_float_roundtrip.py,YES,YES,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/discover_xauusd_current_feature_pipeline.py,04_Testing/discover_xauusd_current_feature_pipeline.py,REVIEW_REQUIRED,operation_or_research,unclassified,LOW,0,,REVIEW_REQUIRED,unclassified,04_Testing/discover_xauusd_current_feature_pipeline.py,NO,NO,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics,deprecated old classification: unclassified
04_Testing/evaluate_xauusd_portable_331_train_model_candidates.py,04_Testing/research/portable_331/train/evaluate_xauusd_portable_331_train_model_candidates.py,REVIEW_REQUIRED,operation_or_research,research.portable_331.train,MEDIUM,0,,HISTORICAL_FROZEN,research.portable_331.train,04_Testing/research/portable_331/train/evaluate_xauusd_portable_331_train_model_candidates.py,NO,NO,,NONE,NO,05_Documentation/Architecture.md;05_Documentation/Developer_Guide.md;05_Documentation/Module_List.md;05_Documentation/Version_History.md,ast_parse;py_compile;stale_path_scan;frozen_hash_check;documentation_update,"old research classification retained as evidence, not authority"
04_Testing/exness_demo_xauusd_context_attestation_operation.py,04_Testing/exness_demo_xauusd_context_attestation_operation.py,REVIEW_REQUIRED,operation_or_research,Dataset,MEDIUM,900,Dataset=900[300:dynamic-module:02_AI.Dataset.broker_instrument_context_binding;300:dynamic-module:02_AI.Dataset.data_fetcher;300:dynamic-module:02_AI.Dataset.mt5_read_only_instrument_attestation_adapter] | Common=120[120:module-from:types],REVIEW_REQUIRED,unclassified,04_Testing/exness_demo_xauusd_context_attestation_operation.py,YES,NO,,NONE,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;dynamic_loader_semantics,deprecated old classification: unclassified
04_Testing/exness_historical_fill_telemetry_operation.py,04_Testing/exness_historical_fill_telemetry_operation.py,REVIEW_REQUIRED,operation_or_research,Shadow,MEDIUM,300,Shadow=300[300:dynamic-module:02_AI.Shadow.mt5_read_only_fill_telemetry_adapter],REVIEW_REQUIRED,unclassified,04_Testing/exness_historical_fill_telemetry_operation.py,YES,YES,,NONE,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;dynamic_loader_semantics,deprecated old classification: unclassified
04_Testing/fit_xauusd_portable_331_c04_full_train_model.py,04_Testing/research/portable_331/train/fit_xauusd_portable_331_c04_full_train_model.py,REVIEW_REQUIRED,operation_or_research,research.portable_331.train,MEDIUM,120,Common=120[120:module-from:types],HISTORICAL_FROZEN,research.portable_331.train,04_Testing/research/portable_331/train/fit_xauusd_portable_331_c04_full_train_model.py,YES,NO,1,HIGH,NO,05_Documentation/Developer_Guide.md;05_Documentation/Module_List.md,ast_parse;py_compile;stale_path_scan;frozen_hash_check;documentation_update;repo_root_semantics;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/freeze_xauusd_portable_331_one_time_validation_result.py,04_Testing/freeze_xauusd_portable_331_one_time_validation_result.py,FROZEN_STAY,operation_or_research,frozen_compatibility,FROZEN,0,,FROZEN_HOLDOUT,research.portable_331.holdout,04_Testing/freeze_xauusd_portable_331_one_time_validation_result.py,NO,NO,1,HIGH,NO,05_Documentation/Developer_Guide.md;05_Documentation/Module_List.md,ast_parse;py_compile;stale_path_scan;frozen_hash_check;documentation_update;repo_root_semantics,
04_Testing/freeze_xauusd_portable_331_train_internal_winner.py,04_Testing/research/portable_331/train/freeze_xauusd_portable_331_train_internal_winner.py,REVIEW_REQUIRED,operation_or_research,research.portable_331.train,MEDIUM,120,Common=120[120:module-from:types],HISTORICAL_FROZEN,research.portable_331.train,04_Testing/research/portable_331/train/freeze_xauusd_portable_331_train_internal_winner.py,YES,NO,1,HIGH,NO,05_Documentation/Module_List.md,ast_parse;py_compile;stale_path_scan;frozen_hash_check;documentation_update;repo_root_semantics;dynamic_loader_semantics,"old research classification retained as evidence, not authority"
04_Testing/inspect_xauusd_portable_331_candidate_evaluator_integration_contract.py,04_Testing/research/portable_331/train/inspect_xauusd_portable_331_candidate_evaluator_integration_contract.py,REVIEW_REQUIRED,operation_or_research,research.portable_331.train,MEDIUM,220,Dataset=220[220:source-file-string:portable_331_training_input_loader.py] | Config=180[180:module-string:constants],HISTORICAL_FROZEN,research.portable_331.train,04_Testing/research/portable_331/train/inspect_xauusd_portable_331_candidate_evaluator_integration_contract.py,NO,NO,1,HIGH,NO,,ast_parse;py_compile;stale_path_scan;frozen_hash_check;repo_root_semantics,"old research classification retained as evidence, not authority"
