source,proposed_target,manifest_status,current_state,ownership,ownership_confidence,lifecycle,dynamic_loader,sys_path_mutation,path_depth_risk,ci_reference_at_manifest_freeze
04_Testing/analyze_xauusd_hierarchical_model_v4_stage_b_feature_stability_reduction.py,04_Testing/research/legacy_ml/analyze_xauusd_hierarchical_model_v4_stage_b_feature_stability_reduction.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.legacy_ml,MEDIUM,HISTORICAL,YES,YES,HIGH,NO
04_Testing/analyze_xauusd_hierarchical_model_v4_stage_b_temporal_robustness.py,04_Testing/research/legacy_ml/analyze_xauusd_hierarchical_model_v4_stage_b_temporal_robustness.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.legacy_ml,MEDIUM,HISTORICAL,YES,YES,HIGH,NO
04_Testing/audit_xauusd_portable_331_train_input_readiness.py,04_Testing/research/portable_331/train/audit_xauusd_portable_331_train_input_readiness.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,YES,YES,HIGH,NO
04_Testing/build_exness_demo_xauusd_canonical_history.py,04_Testing/build_exness_demo_xauusd_canonical_history.py,REVIEW_REQUIRED,REVIEW_REQUIRED,Dataset,MEDIUM,REVIEW_REQUIRED,YES,YES,NONE,NO
04_Testing/build_xauusd_training_matrix.py,04_Testing/research/legacy_ml/build_xauusd_training_matrix.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.legacy_ml,MEDIUM,HISTORICAL,YES,YES,NONE,NO
04_Testing/build_xauusd_training_v2.py,04_Testing/research/legacy_ml/build_xauusd_training_v2.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.legacy_ml,MEDIUM,HISTORICAL,YES,YES,NONE,NO
04_Testing/build_xauusd_training_v3.py,04_Testing/research/legacy_ml/build_xauusd_training_v3.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.legacy_ml,MEDIUM,HISTORICAL,YES,YES,NONE,NO
04_Testing/check_symbols.py,04_Testing/check_symbols.py,REVIEW_REQUIRED,REVIEW_REQUIRED,unclassified,LOW,REVIEW_REQUIRED,NO,NO,NONE,NO
04_Testing/check_terminal.py,04_Testing/check_terminal.py,REVIEW_REQUIRED,REVIEW_REQUIRED,unclassified,LOW,REVIEW_REQUIRED,NO,NO,NONE,NO
04_Testing/confidence_v21_research_validation.py,04_Testing/research/shadow_or_legacy/confidence_v21_research_validation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/confidence_v21_shadow_validation.py,04_Testing/research/shadow_or_legacy/confidence_v21_shadow_validation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/confidence_v21_walk_forward_validation.py,04_Testing/research/shadow_or_legacy/confidence_v21_walk_forward_validation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/conftest.py,04_Testing/conftest.py,SUPPORT_STAY,SUPPORT_STAY,pytest_root_support,HIGH,ACTIVE_REGRESSION,NO,YES,HIGH,NO
04_Testing/daily_trade_readiness_diagnostic.py,04_Testing/daily_trade_readiness_diagnostic.py,REVIEW_REQUIRED,REVIEW_REQUIRED,Core,MEDIUM,REVIEW_REQUIRED,YES,YES,NONE,NO
04_Testing/design_xauusd_portable_331_one_time_test_protocol.py,04_Testing/design_xauusd_portable_331_one_time_test_protocol.py,FROZEN_STAY,FROZEN_STAY,frozen_compatibility,FROZEN,FROZEN_HOLDOUT,NO,NO,NONE,NO
04_Testing/design_xauusd_portable_331_one_time_validation_protocol.py,04_Testing/design_xauusd_portable_331_one_time_validation_protocol.py,FROZEN_STAY,FROZEN_STAY,frozen_compatibility,FROZEN,FROZEN_HOLDOUT,NO,NO,HIGH,NO
04_Testing/design_xauusd_portable_331_train_model_candidate_registry.py,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_model_candidate_registry.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,NO,YES,HIGH,NO
04_Testing/design_xauusd_portable_331_train_model_research_protocol.py,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_model_research_protocol.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,NO,YES,HIGH,NO
04_Testing/design_xauusd_portable_331_train_supervised_batch_contract.py,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_supervised_batch_contract.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,NO,YES,HIGH,NO
04_Testing/design_xauusd_portable_331_train_target_access_contract.py,04_Testing/research/portable_331/train/design_xauusd_portable_331_train_target_access_contract.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,YES,YES,HIGH,NO
